Time,Input,Output
0.00200064,0.00405062,-0.162025
0.00201106,0.0694656,-2.77862
0.00202148,0.134583,-5.38332
0.0020319,0.199124,-7.96494
0.00204232,0.262811,-9
0.00205274,0.325372,-9
0.00206316,0.386539,-9
0.00207358,0.44605,-9
0.002084,0.50365,-9
0.00209442,0.559091,-9
0.00210484,0.612137,-9
0.00211526,0.66256,-9
0.00212568,0.710143,-9
0.0021361,0.754684,-9
0.00214652,0.795992,-9
0.00215694,0.833888,-9
0.00216736,0.868211,-9
0.00217778,0.898814,-9
0.0021882,0.925566,-9
0.00219862,0.948352,-9
0.00220904,0.967074,-9
0.00221946,0.981652,-9
0.00222988,0.992024,-9
0.0022403,0.998145,-9
0.00225072,0.99999,-9
0.00226114,0.997549,-9
0.00227156,0.990834,-9
0.00228198,0.979873,-9
0.0022924,0.964714,-9
0.00230282,0.945421,-9
0.00231324,0.922077,-9
0.00232366,0.894782,-9
0.00233408,0.863653,-9
0.0023445,0.828823,-9
0.00235492,0.790442,-9
0.00236534,0.748674,-9
0.00237576,0.703697,-9
0.00238618,0.655706,-9
0.0023966,0.604905,-9
0.00240702,0.551512,-9
0.00241744,0.495755,-9
0.00242786,0.437875,-9
0.00243828,0.378118,-9
0.0024487,0.316741,-9
0.00245912,0.254007,-9
0.00246954,0.190184,-7.60736
0.00247996,0.125546,-5.02186
0.00249038,0.0603709,-2.41484
0.0025008,-0.00506327,0.202531
0.00251122,-0.0704758,2.81903
0.00252164,-0.135586,5.42345
0.00253206,-0.200116,8.00463
0.00254248,-0.263788,9
0.0025529,-0.32633,9
0.00256332,-0.387473,9
0.00257374,-0.446956,9
0.00258416,-0.504524,9
0.00259458,-0.55993,9
0.002605,-0.612937,9
0.00261542,-0.663318,9
0.00262584,-0.710856,9
0.00263626,-0.755348,9
0.00264668,-0.796604,9
0.0026571,-0.834446,9
0.00266752,-0.868713,9
0.00267794,-0.899258,9
0.00268836,-0.925949,9
0.00269878,-0.948672,9
0.0027092,-0.967331,9
0.00271962,-0.981845,9
0.00273004,-0.992151,9
0.00274046,-0.998206,9
0.00275088,-0.999984,9
0.0027613,-0.997478,9
0.00277172,-0.990697,9
0.00278214,-0.979671,9
0.00279256,-0.964447,9
0.00280298,-0.945091,9
0.0028134,-0.921685,9
0.00282382,-0.894329,9
0.00283424,-0.863142,9
0.00284466,-0.828256,9
0.00285508,-0.789821,9
0.0028655,-0.748002,9
0.00287592,-0.702977,9
0.00288634,-0.654941,9
0.00289676,-0.604098,9
0.00290718,-0.550667,9
0.0029176,-0.494876,9
0.00292802,-0.436964,9
0.00293844,-0.37718,9
0.00294886,-0.31578,9
0.00295928,-0.253027,9
0.0029697,-0.18919,7.56759
0.00298012,-0.124542,4.98167
0.00299054,-0.0593601,2.3744
0.00300096,0.00607591,-0.243036
0.00301138,0.0714859,-2.85943
0.0030218,0.13659,-5.46358
0.00303222,0.201108,-8.04432
0.00304264,0.264765,-9
0.00305306,0.327287,-9
0.00306348,0.388406,-9
0.0030739,0.447862,-9
0.00308432,0.505398,-9
0.00309474,0.560769,-9
0.00310516,0.613737,-9
0.00311558,0.664075,-9
0.003126,0.711568,-9
0.00313642,0.756012,-9
0.00314684,0.797216,-9
0.00315726,0.835004,-9
0.00316768,0.869214,-9
0.0031781,0.8997,-9
0.00318852,0.926331,-9
0.00319894,0.948992,-9
0.00320936,0.967587,-9
0.00321978,0.982036,-9
0.0032302,0.992277,-9
0.00324062,0.998267,-9
0.00325104,0.999978,-9
0.00326146,0.997405,-9
0.00327188,0.990558,-9
0.0032823,0.979467,-9
0.00329272,0.964179,-9
0.00330314,0.944759,-9
0.00331356,0.921291,-9
0.00332398,0.893876,-9
0.0033344,0.86263,-9
0.00334482,0.827688,-9
0.00335524,0.7892,-9
0.00336566,0.747329,-9
0.00337608,0.702257,-9
0.0033865,0.654175,-9
0.00339692,0.603291,-9
0.00340734,0.549821,-9
0.00341776,0.493995,-9
0.00342818,0.436053,-9
0.0034386,0.376242,-9
0.00344902,0.314819,-9
0.00345944,0.252047,-9
0.00346986,0.188195,-7.52781
0.00348028,0.123537,-4.94148
0.0034907,0.0583492,-2.33397
0.00350112,-0.00708855,0.283542
0.00351154,-0.0724959,2.89984
0.00352196,-0.137593,5.5037
0.00353238,-0.2021,8.08399
0.0035428,-0.265741,9
0.00355322,-0.328243,9
0.00356364,-0.389339,9
0.00357406,-0.448767,9
0.00358448,-0.506272,9
0.0035949,-0.561607,9
0.00360532,-0.614536,9
0.00361574,-0.664832,9
0.00362616,-0.712279,9
0.00363658,-0.756674,9
0.003647,-0.797827,9
0.00365742,-0.835561,9
0.00366784,-0.869715,9
0.00367826,-0.900142,9
0.00368868,-0.926712,9
0.0036991,-0.949311,9
0.00370952,-0.967842,9
0.00371994,-0.982227,9
0.00373036,-0.992402,9
0.00374078,-0.998326,9
0.0037512,-0.999971,9
0.00376162,-0.997332,9
0.00377204,-0.990419,9
0.00378246,-0.979262,9
0.00379288,-0.96391,9
0.0038033,-0.944427,9
0.00381372,-0.920897,9
0.00382414,-0.893421,9
0.00383456,-0.862117,9
0.00384498,-0.827119,9
0.0038554,-0.788577,9
0.00386582,-0.746656,9
0.00387624,-0.701536,9
0.00388666,-0.653409,9
0.00389708,-0.602483,9
0.0039075,-0.548975,9
0.00391792,-0.493115,9
0.00392834,-0.435141,9
0.00393876,-0.375304,9
0.00394918,-0.313858,9
0.0039596,-0.251067,9
0.00397002,-0.187201,7.48802
0.00398044,-0.122532,4.90128
0.00399086,-0.0573382,2.29353
0.00400128,0.00810118,-0.324047
0.0040117,0.0735059,-2.94023
0.00402212,0.138596,-5.54382
0.00403254,0.203091,-8.12366
0.00404296,0.266717,-9
0.00405338,0.3292,-9
0.0040638,0.390272,-9
0.00407422,0.449672,-9
0.00408464,0.507145,-9
0.00409506,0.562445,-9
0.00410548,0.615335,-9
0.0041159,0.665588,-9
0.00412632,0.71299,-9
0.00413674,0.757336,-9
0.00414716,0.798437,-9
0.00415758,0.836117,-9
0.004168,0.870214,-9
0.00417842,0.900582,-9
0.00418884,0.927092,-9
0.00419926,0.949629,-9
0.00420968,0.968097,-9
0.0042201,0.982416,-9
0.00423052,0.992526,-9
0.00424094,0.998384,-9
0.00425136,0.999963,-9
0.00426178,0.997257,-9
0.0042722,0.990279,-9
0.00428262,0.979057,-9
0.00429304,0.96364,-9
0.00430346,0.944093,-9
0.00431388,0.920502,-9
0.0043243,0.892966,-9
0.00433472,0.861604,-9
0.00434514,0.82655,-9
0.00435556,0.787954,-9
0.00436598,0.745982,-9
0.0043764,0.700814,-9
0.00438682,0.652642,-9
0.00439724,0.601674,-9
0.00440766,0.548128,-9
0.00441808,0.492233,-9
0.0044285,0.434229,-9
0.00443892,0.374365,-9
0.00444934,0.312896,-9
0.00445976,0.250087,-9
0.00447018,0.186206,-7.44823
0.0044806,0.121527,-4.86107
0.00449102,0.0563272,-2.25309
0.00450144,-0.0091138,0.364552
0.00451186,-0.0745157,2.98063
0.00452228,-0.139598,5.58394
0.0045327,-0.204083,8.16331
0.00454312,-0.267693,9
0.00455354,-0.330156,9
0.00456396,-0.391204,9
0.00457438,-0.450576,9
0.0045848,-0.508017,9
0.00459522,-0.563282,9
0.00460564,-0.616133,9
0.00461606,-0.666344,9
0.00462648,-0.713699,9
0.0046369,-0.757997,9
0.00464732,-0.799046,9
0.00465774,-0.836672,9
0.00466816,-0.870712,9
0.00467858,-0.901022,9
0.004689,-0.927471,9
0.00469942,-0.949946,9
0.00470984,-0.96835,9
0.00472026,-0.982605,9
0.00473068,-0.99265,9
0.0047411,-0.998441,9
0.00475152,-0.999954,9
0.00476194,-0.997182,9
0.00477236,-0.990137,9
0.00478278,-0.97885,9
0.0047932,-0.963369,9
0.00480362,-0.943759,9
0.00481404,-0.920106,9
0.00482446,-0.89251,9
0.00483488,-0.861089,9
0.0048453,-0.825979,9
0.00485572,-0.78733,9
0.00486614,-0.745307,9
0.00487656,-0.700091,9
0.00488698,-0.651875,9
0.0048974,-0.600865,9
0.00490782,-0.547281,9
0.00491824,-0.491352,9
0.00492866,-0.433317,9
0.00493908,-0.373426,9
0.0049495,-0.311934,9
0.00495992,-0.249106,9
0.00497034,-0.185211,7.40843
0.00498076,-0.120522,4.82086
0.00499118,-0.0553161,2.21264
